Symbol,LTP,Change(%),Delivery(%)
SUZLON,69.73,-1.27,56.37
UNIONBANK,110.94,-0.64,51.89
LTF,154.96,-1.81,50.33
NHPC,80.29,-2.15,50.28
CUB,168.86,12.1,48.99
PNCINFRA,342.45,-6.64,46.93
ZOMATO,267.7,0.75,44.58
PNB,101.27,-1.0,44.35
BHEL,243.0,-1.88,40.86
JPPOWER,18.96,-1.1,39.95
NATIONALUM,227.68,-1.01,36.8
HFCL,119.43,-4.43,36.66
CGPOWER,800.25,3.18,36.35
GMRINFRA,82.6,-0.43,36.15
IDEA,8.61,1.29,35.36
IDFCFIRSTB,70.3,-0.14,34.93
SAIL,126.06,-0.32,33.38
YESBANK,20.73,-1.38,31.76
TATASTEEL,152.66,-1.53,30.88
JMFINANCIL,144.88,-1.48,18.15
