Symbol,LTP,Change(%),Delivery(%)
ICICIBANK,1257.85,0.41,72.96
HDFCBANK,1746.65,-0.17,68.29
SHRIRAMFIN,3193.85,-1.58,67.21
RELIANCE,2672.2,-0.28,65.63
POWERGRID,318.1,-0.33,65.44
HCLTECH,1864.5,1.06,64.59
ITC,490.2,3.92,64.02
AXISBANK,1184.3,1.45,57.56
WIPRO,547.8,0.16,57.11
NTPC,399.55,-3.0,54.21
ONGC,266.55,-0.95,53.0
BPCL,316.0,-1.7,48.93
BEL,267.5,-1.42,47.93
TATAMOTORS,873.8,-0.7,47.76
INDUSINDBK,1088.05,-15.0,45.94
COALINDIA,468.4,-1.85,38.57
HINDALCO,683.65,-1.02,34.28
TATASTEEL,146.61,-1.59,34.1
SBIN,791.7,-0.36,28.84
