portfolio_size,rebalance_day,exit_buffer,long_term_period_days,short_term_period_days,initial_capital,use_threshold_rebalancing,final_value,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,total_trades,transaction_costs,win_ratio_pct,days_to_recovery
3,5,1.0,180,60,100000,False,179751.27560668392,79.75127560668392,12.933206387840922,0.8935187600089527,-13.959020501372454,189,1706.9290738016214,76.06837606837607,403
3,5,1.0,180,30,100000,False,184776.87376914668,84.77687376914669,13.580959127731829,0.9644322619698863,-13.922803096417935,188,1769.8063537156268,76.10619469026548,295
3,5,1.0,200,20,100000,False,174756.16677580238,74.75616677580238,12.274999860366087,0.8694078860990847,-14.944161305700632,194,1797.2106591846984,73.91304347826086,557
3,5,1.0,180,20,100000,False,171796.97937804292,71.79697937804292,11.8780020125977,0.85001567285179,-13.922803096417901,195,1905.319381165723,76.06837606837607,295
3,5,1.0,180,20,100000,True,128399.98343859287,28.39998343859287,5.32161767666588,0.2960601914191978,-12.694668343258353,212,2080.7949667892235,73.01587301587301,309
3,5,1.0,200,20,100000,True,139466.3344435093,39.46633444350929,7.143166343440632,0.43657704136406905,-19.669813270409108,219,2023.963926823218,70.99236641221374,693
3,5,1.0,180,30,100000,True,140993.8273226776,40.9938273226776,7.385508150341202,0.4746175631463003,-12.487624630701799,207,2007.706110898588,75.78125,463
3,5,1.0,180,60,100000,True,155233.26681224117,55.23326681224117,9.54997029508926,0.6199744871633592,-18.371534117812615,216,2030.150889663328,75.38461538461539,780
3,5,1.0,200,30,100000,True,168312.8549335473,68.31285493354729,11.403571338736484,0.793435590316866,-16.013415139626563,208,1865.7209377147656,72.26890756302521,325
3,5,1.0,200,60,100000,False,160611.90524825267,60.61190524825268,10.326661223061029,0.6975046485733329,-16.961040902021495,189,1589.828387072881,71.68141592920354,690
3,5,1.0,200,30,100000,False,170194.79853222,70.19479853222002,11.66079057971212,0.8161091874371961,-14.944161305700609,193,1784.3323997965567,71.42857142857143,322
3,5,1.0,220,20,100000,False,198638.8915645605,98.6388915645605,15.297975202435389,1.1420374891646612,-14.944161318388415,196,2027.928755867697,73.04347826086956,325
3,5,1.0,200,60,100000,True,146076.57760628208,46.07657760628208,8.177203865323325,0.5136456086488258,-17.12609211436935,202,1799.2447447317259,71.42857142857143,715
3,5,1.0,220,30,100000,False,200537.13398368517,100.53713398368518,15.52564292867511,1.1209115596572774,-14.944161318388428,191,1951.3931461352338,73.68421052631578,322
3,5,1.0,220,20,100000,True,106221.665999371,6.2216659993709955,1.259755779110483,-0.04075579049838653,-37.3949470489209,239,2713.005409624552,70.28985507246377,Not Recovered
3,5,1.0,220,30,100000,True,174919.75127388458,74.9197512738846,12.296790125853963,0.8043169138314465,-19.487320561908085,225,2667.4843922434734,71.11111111111111,599
3,5,1.0,220,60,100000,False,185601.6193737663,85.6016193737663,13.685923511323805,1.006159088936609,-14.944161305910608,192,1903.0614124853478,70.17543859649122,322
3,5,1.0,220,60,100000,True,169453.29110784762,69.45329110784762,11.559713673292094,0.9080033152152677,-11.923146804544194,210,2147.917911253683,68.70229007633588,384
3,5,1.5,180,20,100000,False,173265.10322886574,73.26510322886574,12.075633868549396,0.8401884260030439,-13.9279255301198,191,1782.3868132059192,80.35714285714286,302
3,5,1.5,180,30,100000,False,188444.80351399048,88.4448035139905,14.044961406287303,0.9867381844727567,-13.927925546635322,187,1780.7823228891284,80.0,302
3,5,1.5,180,20,100000,True,87861.5429254574,-12.138457074542607,-2.6483575984433183,-0.24492613506507335,-32.732802705471066,230,2561.7681406663614,72.5925925925926,Not Recovered
3,5,1.5,180,30,100000,True,155812.72310106456,55.812723101064556,9.63466134625044,0.6697279808941938,-16.199021954893144,203,1954.9962584803216,80.34188034188034,583
3,5,1.5,180,60,100000,False,187002.29054904188,87.00229054904187,13.863341252795646,0.9491170667310812,-13.927600864560619,187,1711.4434513250255,80.53097345132744,302
3,5,1.5,180,60,100000,True,177686.86256159988,77.68686256159987,12.662958127431367,0.8538955751319786,-14.616312043235036,206,2001.790532403011,80.32786885245902,314
3,5,1.5,200,20,100000,False,196513.36231027168,96.51336231027167,15.040991894369649,1.0168859556820984,-15.275219450471479,190,1825.3731800768644,78.94736842105263,674
3,5,1.5,200,20,100000,True,153609.39242873417,53.60939242873417,9.311288805420093,0.5946208656155059,-18.991204913961845,212,2088.090241114778,78.29457364341084,695
3,5,1.5,200,30,100000,False,191496.45922419155,91.49645922419157,14.425579200746363,1.0110901898540678,-14.944158013849428,191,1897.5301581922392,76.99115044247787,323
3,5,1.5,200,30,100000,True,172207.8039319117,72.20780393191171,11.9334397200052,0.7937880974386625,-14.31244002925972,209,2204.4724276652832,75.20661157024794,391
3,5,1.5,200,60,100000,True,143866.61727139773,43.866617271397736,7.835704280653055,0.498333050966389,-17.779903907521298,200,1737.0059974364463,72.1311475409836,777
3,5,1.5,220,20,100000,False,202019.01304062858,102.01901304062856,15.702189444663572,1.147855339604683,-15.197569858502536,190,1890.0960837467217,77.98165137614679,422
3,5,1.5,200,60,100000,False,180686.15467094586,80.68615467094587,13.054780947289558,0.9105855301985937,-14.951533114011939,184,1610.5265530218505,77.27272727272727,331
3,5,1.5,220,20,100000,True,165196.37744596365,65.19637744596365,10.97256141197207,0.7969732024769203,-16.930656035396176,219,2414.1615450518034,77.68595041322314,Not Recovered
3,5,1.5,220,30,100000,True,152276.98363288102,52.27698363288103,9.113949465088233,0.49319710438882064,-28.790270288422036,228,2764.319709315234,78.62595419847328,Not Recovered
3,5,1.5,220,30,100000,False,208365.92140674536,108.36592140674534,16.446924605210732,1.1799208821110831,-15.196776405657353,186,1875.613254832877,79.24528301886792,422
3,5,1.5,220,60,100000,False,182506.31620584746,82.50631620584745,13.290057169549453,0.9645060162642775,-16.97283641282292,188,1787.0407543218284,74.77477477477478,686
3,5,1.5,220,60,100000,True,134351.37040860552,34.35137040860552,6.31603371267313,0.3435751443882349,-18.013256569871793,216,2257.986139346077,71.09375,801
3,5,2.0,180,20,100000,False,232857.5611865329,132.8575611865329,19.162173133456207,1.2944127068834315,-14.305187884055037,179,1920.9398523754307,88.0,306
3,5,2.0,180,20,100000,True,224460.90468829262,124.4609046882926,18.2579351924665,1.2285372724891654,-14.305187884055037,196,2079.892426536543,87.03703703703704,306
3,5,2.0,180,30,100000,False,222072.7169842879,122.0727169842879,17.995858791322263,1.190250967548623,-16.119468663758283,176,1749.1332200505406,85.85858585858585,330
3,5,2.0,180,30,100000,True,201013.30388169686,101.01330388169684,15.582484767127003,0.9776850592887736,-17.365127975267967,199,2060.3440637038475,87.27272727272727,685
3,5,2.0,180,60,100000,False,232002.88140315106,132.00288140315104,19.071325209977342,1.2603691162716637,-13.854733487823234,178,1667.2000839884308,81.13207547169812,302
3,5,2.0,200,20,100000,False,209210.71054349316,109.21071054349314,16.544689707636074,1.1057247159546895,-17.12961941255199,178,1660.2989114542868,86.73469387755102,583
3,5,2.0,180,60,100000,True,166606.62550576046,66.60662550576046,11.16839049868421,0.6488624420246091,-34.442778957545315,205,1854.9667638846868,78.86178861788618,875
3,5,2.0,200,20,100000,True,174033.4960557005,74.03349605570048,12.17854263136553,0.7699341794803154,-21.759623387984984,209,1847.4306083762594,82.45614035087719,686
3,5,2.0,200,30,100000,False,211985.0892484517,111.9850892484517,16.86357524323361,1.124492248607544,-17.129496192587844,175,1642.282683719869,85.1063829787234,560
3,5,2.0,200,30,100000,True,175383.1109075137,75.38311090751371,12.358424377266019,0.7811234344382515,-23.949510842514556,210,1911.2046826674714,84.03361344537815,816
3,5,2.0,200,60,100000,False,201133.77823928464,101.13377823928462,15.596849236463495,1.0329549899064048,-17.05919458909775,176,1580.5495210213132,82.0,595
3,5,2.0,200,60,100000,True,194436.4729207725,94.4364729207725,14.787752389438813,0.9647569330190149,-17.275303066656424,198,1778.2815724932439,82.72727272727273,599
3,5,2.0,220,20,100000,False,199256.42416006132,99.2564241600613,15.372228160660217,1.0597776056297963,-17.377548451556734,176,1585.0609441423758,88.17204301075269,555
3,5,2.0,220,20,100000,True,198032.10493021115,98.03210493021115,15.224835926156333,1.0523242746668178,-17.591976248310793,193,1692.6312150819774,87.87878787878788,557
3,5,2.0,220,30,100000,False,198777.6659874402,98.7776659874402,15.314677548962008,1.0276977118926895,-17.32669380725307,176,1574.6532437525746,86.31578947368422,557
3,5,2.0,220,30,100000,True,193731.3218498774,93.7313218498774,14.70128428504156,0.9042405238409968,-16.8264447445273,203,1818.3809671075817,83.62068965517241,609
3,5,2.0,220,60,100000,True,150448.82260346686,50.44882260346686,8.840946381538007,0.4681053359541042,-27.40478209340114,206,1871.584507253723,82.75862068965517,717
3,5,2.0,220,60,100000,False,193802.8883954198,93.80288839541981,14.710071389571876,0.9935409690409175,-17.13466490815142,176,1569.9865528046932,85.71428571428571,557
3,5,2.5,180,20,100000,False,219592.85009255607,119.59285009255605,17.721346782263005,1.2086438284469876,-17.06651601117466,175,1810.7223182981395,87.64044943820225,639
3,5,2.5,180,20,100000,True,195617.543955893,95.617543955893,14.932024301770475,0.9962191796780001,-21.466427057631186,206,2062.9921196097102,86.66666666666667,774
3,5,2.5,180,30,100000,False,216400.01262071822,116.40001262071821,17.364269855290495,1.1705816671226779,-15.517324774847552,174,1686.323946353433,89.47368421052632,416
3,5,2.5,180,60,100000,False,216226.53373642507,116.22653373642508,17.34474921201905,1.1630796922686308,-15.397695775119614,175,1575.7931472345888,86.13861386138613,416
3,5,2.5,180,60,100000,True,179663.38594958614,79.66338594958613,12.92175119286425,0.8297313949258093,-23.068589604875676,197,1633.1063938812135,85.59322033898306,683
3,5,2.5,180,30,100000,True,188524.56605867905,88.52456605867904,14.054971749560785,0.9139751254350961,-20.003530073282615,203,1871.3924718598212,88.9908256880734,774
3,5,2.5,200,20,100000,False,210654.5145424854,110.6545145424854,16.711055177116553,1.1404208908749964,-16.998153504668945,175,1675.5085905091619,87.09677419354838,674
