Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
PRESSTONIC,32.2,11.21,-2.94,Presstonic Engineering Ltd.,14.15,0.0,3.28,89.31,10.0,86.36,0.77,3.48,34.2,3.73,58.0,18.49,16.99,24.53,0.08
BABAFP,36.02,0.05,-25.88,Baba Food Processing (India) Ltd.,25.93,0.0,3.76,112.08,10.0,86.2,1.63,1.47,14.04,22.68,73.5,14.76,14.65,2.82,0.08
PENTAGON,37.94,0.83,-15.92,Pentagon Rubber Ltd.,16.75,0.0,5.76,101.81,10.0,85.89,0.77,2.94,19.33,4.42,70.04,22.12,44.19,23.27,0.08
RADIOWALLA,34.1,0.02,-0.77,Radiowalla Network Ltd.,0.79,0.0,2.25,86.3,10.0,85.53,0.7,3.56,53.83,132.57,-999.999,39.64,42.53,33.29,0.08
UMA,33.25,1.71,-71.7,Uma Converter Ltd.,73.41,0.0,2.07,156.85,10.0,85.15,2.03,1.26,20.33,77.68,69.09,6.57,2.1,4.96,0.08
AGNI,15.59,2.68,-7.0,Agni Green Power Ltd.,9.68,0.0,0.2,91.58,10.0,84.59,1.95,2.78,220.24,744.93,70.57,0.22,4.95,43.01,0.08
DESTINY,18.57,0.23,-1.59,Destiny Logistics & Infra Ltd.,1.82,0.0,1.38,86.15,10.0,84.56,1.54,2.96,39.83,59.18,64.76,13.92,9.58,63.46,0.08
AMEYA,25.8,0.03,-0.79,Ameya Precision Engineers Ltd.,0.82,0.0,3.95,83.29,10.0,82.5,0.75,4.26,27.85,21.38,72.69,13.71,11.24,19.86,0.08
MVKAGRO,54.39,0.63,-90.93,M.V.K. Agro Food Product Ltd.,91.56,0.0,4.62,173.03,10.0,82.1,1.55,0.97,11.47,18.02,64.56,16.43,32.85,28.62,0.08
RCDL,31.03,0.36,-44.15,Rajgor Castor Derivatives Ltd.,44.51,0.0,4.09,125.82,10.0,81.67,2.39,1.1,8.35,962.41,60.02,23.12,43.19,980.81,0.08
REXPIPES,33.21,3.36,-24.8,Rex Pipes and Cables Industries Ltd.,28.16,0.0,5.01,104.89,10.0,80.09,0.95,2.55,16.93,30.84,56.22,18.26,17.41,9.32,0.08
VISHWAS,40.13,0.23,-18.55,Vishwas Agri Seeds Ltd.,18.78,0.0,6.01,98.55,10.0,80.0,1.0,1.99,13.3,115.43,-999.999,28.82,55.88,0.7,0.08
