Company Symbol,Book Value (TTM),CASH,Cash/Debt,Company Name,DEBT,Div. Yield,EPS (TTM),Enterprise Value,Face Value,Market Cap,No. of Shares,P/B,P/E,Profit Growth,Promoter Holding,ROCE,ROE,Sales Growth,Weightage
NPST,36.57,58.41,58.27,Network People Services Technologies Ltd.,0.14,0.0,13.78,6517.36,10.0,6575.63,1.94,92.75,246.21,309.55,67.55,81.91,63.7,212.63,6.27
ORIANA,154.11,0.03,-14.86,Oriana Power Ltd.,14.89,0.0,27.13,4464.35,10.0,4449.49,2.03,14.21,80.7,82.38,61.41,50.47,47.0,31.91,4.24
JSLL,77.33,62.01,61.47,Jeena Sikho Lifecare Ltd.,0.54,0.29,27.84,3509.94,10.0,3571.41,2.49,18.58,51.61,105.09,67.91,59.08,43.52,59.1,3.41
SPECTRUM,108.53,7.75,-75.86,Spectrum Electrical Industries Ltd.,83.61,0.0,12.47,2845.95,10.0,2770.09,1.56,16.35,142.39,10.06,72.53,11.35,9.6,0.83,2.64
KODYTECH,190.31,8.14,7.14,Kody Technolab Ltd.,1.0,0.0,6.91,2423.56,10.0,2430.7,0.71,18.07,497.21,67.48,73.01,28.44,23.4,105.04,2.32
ALPEXSOLAR,51.41,12.02,-27.78,Alpex Solar Ltd.,39.8,0.0,11.87,2353.74,10.0,2325.95,2.45,18.49,80.06,5206.23,68.76,15.33,10.01,19.64,2.22
BETA,120.67,17.79,11.84,Beta Drugs Ltd.,5.95,0.0,22.82,1725.18,10.0,1737.02,0.96,14.97,79.18,32.08,66.73,27.93,21.66,26.45,1.66
SOLEX,127.93,0.13,-65.81,Solex Energy Ltd.,65.94,0.03,10.11,1600.2,10.0,1534.39,0.86,13.88,175.7,174.39,70.66,11.98,7.46,124.85,1.46
REMUS,146.78,3.04,-4.9,Remus Pharmaceuticals Ltd.,7.94,0.08,28.55,1530.93,10.0,1526.03,0.59,17.65,90.73,147.6,70.6,68.82,66.14,82.27,1.46
SARTELE,135.77,0.61,-177.26,Sar Televenture Ltd.,177.87,0.0,0.29,1571.03,2.0,1393.77,3.71,2.76,1307.49,35.33,66.26,1.38,3.37,0.31,1.33
BASILIC,41.29,5.36,1.09,Basilic Fly Studio Ltd.,4.27,0.0,15.58,1385.18,10.0,1386.27,2.32,14.45,38.3,3230.89,59.9,170.72,155.63,194.12,1.32
TECHLABS,26.19,1.87,-21.13,Trident Techlabs Ltd.,23.0,0.0,5.42,1249.12,10.0,1227.99,1.73,27.13,131.1,736.66,67.97,23.56,33.02,126.43,1.17
VINYAS,97.67,4.46,-81.25,Vinyas Innovative Technologies Ltd.,85.71,0.02,12.19,1267.36,10.0,1186.11,1.26,9.65,77.29,627.93,29.38,17.73,20.99,12.89,1.13
SAHANA,76.85,0.11,-4.66,Sahana System Ltd.,4.77,0.0,18.26,1130.72,10.0,1126.06,0.82,17.79,74.89,353.07,62.88,75.39,83.52,98.31,1.07
DYNAMIC,37.68,7.19,-11.2,Dynamic Services & Security Ltd.,18.39,0.0,2.16,1078.6,10.0,1067.41,3.96,7.15,124.65,348.12,64.7,21.01,19.21,2.24,1.02
INNOVANA,54.71,1.09,0.78,Innovana Thinklabs Ltd.,0.31,0.05,14.37,1044.72,10.0,1045.5,2.05,9.32,35.49,52.68,73.23,35.61,26.61,37.41,1.0
KRISHNADEF,73.69,44.16,34.73,Krishna Defence and Allied Industries Ltd.,9.43,0.0,6.96,987.22,10.0,1021.95,1.41,9.86,104.39,84.85,68.33,17.0,14.47,67.2,0.97
APS,28.91,2.19,-0.03,Australian Premium Solar (India) Limited,2.22,0.0,3.12,1011.11,10.0,1011.08,1.97,17.72,164.32,23.27,73.64,32.0,26.05,3.63,0.96
VMARCIND,46.75,0.28,-140.22,V Marc India Ltd.,140.5,0.0,11.79,1151.22,10.0,1011.0,2.28,9.49,37.65,157.08,69.96,28.87,28.84,128.37,0.96
EMKAYTOOLS,280.1,3.75,-2.73,Emkay Taps and Cutting Tools Ltd.,6.48,0.0,67.38,1011.17,10.0,1008.44,1.07,3.37,14.03,62.93,74.99,33.65,27.4,16.74,0.96
KOTYARK,104.32,0.06,-13.6,Kotyark Industries Ltd.,13.66,0.8,21.64,966.31,10.0,952.72,1.03,8.88,42.83,32.7,67.65,33.63,27.5,27.23,0.91
ALLETEC,56.16,86.63,86.63,All E Technologies Ltd.,0.0,0.22,8.44,866.03,10.0,952.66,2.02,8.4,55.9,37.14,50.05,19.8,15.15,20.47,0.91
GIRIRAJ,51.2,14.78,-5.1,Giriraj Civil Developers Ltd.,19.88,0.0,4.23,957.14,10.0,952.04,2.39,7.77,94.06,18.81,51.1,12.12,9.53,14.51,0.91
CELLECOR,4.53,0.16,-20.68,Cellecor Gadgets Ltd.,20.84,0.0,0.77,964.23,1.0,943.55,20.97,9.94,58.62,273.23,51.54,66.84,99.48,117.95,0.9
VISHNUINFR,46.5,2.87,-33.38,Vishnusurya Projects and Infra Ltd.,36.25,0.58,11.21,964.73,10.0,931.35,2.46,8.14,33.77,19.56,62.24,32.21,37.64,73.13,0.89
TAC,42.09,2.87,2.51,TAC Infosec Ltd.,0.36,0.0,6.04,906.7,10.0,909.21,1.05,20.61,143.64,735.05,-999.999,89.77,98.62,95.72,0.87
KDL,190.83,0.06,-1.99,Kore Digital Ltd.,2.05,0.0,28.68,908.33,10.0,906.35,0.4,11.85,78.86,47.81,62.69,85.7,77.97,25.59,0.86
DENTALKART,14.0,1.48,0.46,Vasa Denticity Ltd.,1.02,0.0,9.41,895.33,10.0,895.79,1.6,39.96,59.41,52.14,69.62,80.11,70.53,60.25,0.85
SJLOGISTIC,67.76,0.86,-28.85,S J Logistics (India) Ltd.,29.71,0.0,6.95,909.06,10.0,880.21,1.45,8.97,87.39,36.38,49.64,11.99,11.68,3.94,0.84
TIRUPATI,63.26,0.58,-46.99,Shree Tirupati Balajee FIBC Ltd.,47.57,0.0,13.93,857.9,10.0,810.91,1.01,12.65,57.48,33.89,63.85,13.43,15.78,10.88,0.77
ANNAPURNA,61.53,7.2,-16.91,Annapurna Swadisht Ltd.,24.11,0.0,7.82,824.09,10.0,807.18,1.82,7.21,56.77,1189.84,48.67,23.42,23.65,1253.51,0.77
WTICAB,62.79,12.34,-14.07,Wise Travel India Ltd.,26.41,0.0,10.15,788.79,10.0,774.72,2.38,5.18,32.04,172.5,69.76,31.05,29.86,181.64,0.74
RBMINFRA,92.67,0.52,-7.59,RBM Infracon Ltd.,8.11,0.0,10.98,777.74,10.0,770.15,1.01,8.23,69.42,8.92,72.45,19.88,18.49,74.98,0.73
TGL,46.07,5.33,1.41,Teerth Gopicon Ltd.,3.92,0.0,9.63,766.51,10.0,767.91,1.2,13.89,66.43,1073.67,-999.999,17.39,25.64,25.37,0.73
FOCE,72.49,0.51,-25.87,Foce India Ltd.,26.38,0.0,0.99,762.74,10.0,736.87,0.49,20.78,1516.16,95.22,73.63,1.47,0.53,90.23,0.7
PASHUPATI,79.1,2.5,-170.79,Pashupati Cotspin Ltd.,173.29,0.15,5.43,903.27,10.0,732.49,1.53,6.06,88.21,63.08,73.03,5.59,3.74,33.06,0.7
KORE,48.93,10.14,-9.65,Jay Jalaram Technologies Ltd.,19.79,0.0,4.1,731.64,10.0,722.0,1.19,12.42,148.47,195.65,73.05,17.32,14.61,50.8,0.69
MOS,30.3,1.35,-6.45,Mos Utility Ltd.,7.8,0.0,4.2,710.76,10.0,704.31,2.49,9.32,67.19,72.58,64.67,31.09,31.97,37.24,0.67
MEGATHERM,63.87,60.61,24.45,Megatherm Induction Ltd.,36.16,0.0,11.0,636.29,10.0,660.74,1.88,5.49,31.88,47.98,72.71,27.03,24.24,15.18,0.63
ESFL,70.27,5.35,-1.22,Essen Speciality Films Ltd.,6.57,0.0,6.28,650.24,10.0,649.02,2.07,4.46,49.93,158.7,70.1,17.8,16.94,1.0,0.62
ATMASTCO,46.12,48.69,-22.57,Atmastco Ltd.,71.26,0.0,6.75,660.35,10.0,637.78,2.47,5.59,38.18,295.58,68.43,25.5,26.2,158.46,0.61
DRONE,25.36,21.42,17.45,Drone Destination Ltd.,3.97,0.0,2.91,595.28,10.0,612.72,2.43,9.94,86.51,176.39,61.3,23.26,17.88,163.59,0.58
HIGREEN,29.75,0.09,-13.53,Hi-Green Carbon Ltd.,13.62,0.0,4.11,625.29,10.0,611.76,2.5,8.23,59.53,194.82,71.86,54.31,63.19,53.65,0.58
TRUST,41.75,1.13,1.09,Trust Fintech Ltd.,0.04,0.0,5.25,606.97,10.0,608.14,2.38,6.11,48.65,200.92,93.51,30.85,23.42,27.85,0.58
SUPREMEPWR,33.97,0.06,-8.03,Supreme Power Equipment Ltd.,8.09,0.0,5.6,601.57,10.0,593.54,2.5,6.99,42.39,1988.96,56.56,71.05,85.59,62.07,0.57
ACCENTMIC,77.86,72.49,59.7,Accent Microcell Ltd.,12.79,0.37,14.34,525.19,10.0,584.89,2.1,3.57,19.39,146.63,55.09,30.16,28.17,24.45,0.56
SHREEKARNI,45.38,0.36,-36.23,Shree Karni Fabcom Ltd.,36.59,0.0,18.4,617.69,10.0,581.46,0.71,18.12,44.69,7.85,70.7,26.63,28.3,51.9,0.55
KNAGRI,113.8,17.51,-61.8,KN Agri Resources Ltd.,79.31,0.0,12.5,636.77,10.0,574.97,2.5,2.02,18.39,37.76,73.66,15.56,10.89,18.88,0.55
KRISHIVAL,54.83,6.02,-0.37,Krishival Foods Ltd.,6.39,0.08,4.38,567.77,10.0,567.41,2.23,4.64,58.11,44.32,37.19,13.1,11.42,46.53,0.54
RMDRIP,20.25,0.06,-7.5,R M Drip and Sprinklers Systems Ltd.,7.56,0.0,2.17,568.29,10.0,560.8,2.5,11.08,103.66,103.07,13.86,5.1,0.23,38.86,0.53
EMMIL,62.02,0.04,-21.84,Energy Mission Machineries (India) Ltd.,21.88,0.0,9.68,575.99,10.0,554.15,1.13,7.89,50.53,135.0,-999.999,29.79,40.35,27.07,0.53
SWARAJ,49.72,0.43,-112.97,Swaraj Suiting Ltd.,113.4,0.0,9.81,665.71,10.0,552.74,1.85,5.99,30.38,21.08,73.59,10.44,8.96,70.22,0.53
VIVIANA,30.06,0.06,-10.02,Viviana Power Tech Ltd.,10.08,0.0,10.86,558.66,10.0,548.64,0.6,30.58,84.6,7.53,73.38,24.87,24.33,10.85,0.52
PROV,384.22,5.26,-6.93,Proventus Agrocom Ltd.,12.19,0.0,13.91,546.19,10.0,539.26,0.34,4.09,112.86,128.63,70.84,5.79,3.94,8.81,0.51
KRISHCA,57.58,0.14,-11.95,Krishca Strapping Solutions Ltd.,12.09,0.0,9.33,546.92,10.0,534.96,1.42,6.55,40.4,520.56,62.59,74.43,149.1,288.5,0.51
VINSYS,50.41,0.34,-22.61,Vinsys IT Services India Ltd.,22.95,0.0,6.7,551.75,10.0,529.14,1.47,7.15,53.79,8544.66,68.13,33.44,71.62,33.56,0.5
PHANTOMFX,106.24,4.06,-3.23,Phantom Digital Effects Ltd.,7.29,0.0,17.76,517.88,10.0,514.65,1.36,3.57,21.34,230.3,54.79,75.12,65.48,159.24,0.49
LAWSIKHO,52.99,1.71,1.55,Addictive Learning Technology Ltd.,0.16,0.0,4.11,494.83,10.0,496.38,1.59,5.89,76.0,603.63,66.07,0.0,0.0,80.56,0.47
DUGLOBAL,11.17,16.04,15.33,DUDIGITAL GLOBAL LTD.,0.71,0.0,0.3,479.83,2.0,495.16,6.97,6.35,239.7,125.09,55.5,10.49,4.08,438.59,0.47
FROG,85.92,1.2,-3.49,Frog Cellsat Ltd.,4.69,0.0,9.34,497.84,10.0,494.35,1.55,3.72,34.18,2.24,74.1,15.74,12.28,16.64,0.47
NEWJAISA,25.73,1.41,-6.03,Newjaisa Technologies Ltd.,7.44,0.0,1.64,497.85,5.0,491.82,3.85,4.97,77.86,274.92,69.35,82.76,114.05,59.5,0.47
LEMERITE,40.8,41.98,-40.66,Le Merite Exports Ltd.,82.64,0.1,0.74,519.56,10.0,478.89,2.35,5.0,274.42,69.82,72.96,7.8,9.0,30.76,0.46
CGRAPHICS,37.23,1.21,-21.7,Creative Graphics Solutions India Ltd.,22.91,0.0,4.34,500.25,10.0,478.56,2.43,5.29,45.45,83.59,67.83,42.83,59.79,31.95,0.46
EUROBOND,46.89,5.79,-46.34,Euro Panel Products Ltd.,52.13,0.0,5.96,519.8,10.0,473.46,2.45,4.12,32.4,23.01,62.81,15.57,10.57,52.39,0.45
BEWLTD,332.53,0.16,-42.01,BEW Engineering Ltd.,42.17,0.0,41.49,507.26,10.0,465.25,0.33,4.28,34.31,29.86,60.56,24.91,31.86,6.23,0.44
SAAKSHI,55.39,3.16,-16.91,Saakshi Medtech and Panels Ltd.,20.07,0.0,6.4,477.74,10.0,460.82,1.77,4.71,40.76,32.07,73.63,33.25,34.35,33.28,0.44
PRATHAM,34.26,0.31,-13.88,Pratham EPC Projects Ltd.,14.19,0.0,5.66,465.43,10.0,451.55,1.78,7.42,44.94,73.14,72.97,48.88,53.97,0.52,0.43
AVPINFRA,36.23,6.58,-48.27,AVP Infracon Ltd.,54.85,0.0,7.32,494.78,10.0,446.5,2.5,4.93,24.41,188.57,62.33,30.03,60.04,66.44,0.43
CHAVDA,29.88,3.09,-50.2,Chavda Infra Ltd.,53.29,0.0,7.61,491.78,10.0,441.59,2.47,5.99,23.54,131.01,73.0,28.38,49.41,47.41,0.42
COOLCAPS,31.81,0.14,-45.99,Cool Caps Industries Ltd.,46.13,0.0,4.05,475.97,10.0,429.97,1.16,11.69,91.93,52.94,74.33,14.74,15.15,173.26,0.41
TCL,10.0,0.0,0.0,Thaai Casting Ltd.,0.0,0.0,0.0,426.28,10.0,426.28,2.31,18.43,0.0,-999.999,63.58,-999.999,-999.999,-999.999,0.41
REFRACTORY,17.84,3.26,-20.26,Refractory Shapes Ltd.,23.52,0.0,1.85,437.51,10.0,417.25,2.18,10.73,103.67,121.94,-999.999,17.18,22.07,6.8,0.4
ESCONET,29.74,13.55,11.21,Esconet Technologies Ltd.,2.34,0.0,4.29,396.67,10.0,407.88,1.24,11.09,76.97,74.88,64.94,32.53,25.06,45.23,0.39
SHERA,39.4,9.52,-39.49,Shera Energy Ltd.,49.01,0.0,3.06,445.0,10.0,405.52,2.28,4.52,58.11,34.77,63.58,16.2,6.57,17.4,0.39
ABINFRA,18.39,1.81,-30.5,A B Infrabuild Ltd.,32.31,0.0,2.3,433.43,10.0,402.93,4.97,4.4,35.29,772.03,36.82,23.45,23.89,91.38,0.38
WINSOL,35.11,0.31,-10.28,Winsol Engineers Ltd.,10.59,0.0,7.53,403.34,10.0,393.06,1.15,9.7,45.28,377.66,-999.999,47.3,85.08,7.72,0.37
BAHETI,40.15,0.95,-70.13,Baheti Recycling Industries Ltd.,71.08,0.13,6.94,456.16,10.0,386.02,1.04,9.27,53.61,80.37,73.4,14.71,20.66,44.91,0.37
SURANI,77.76,0.81,-10.52,Surani Steel Tubes Ltd.,11.33,0.0,0.4,392.49,10.0,381.97,1.24,3.95,760.91,196.73,39.02,1.02,7.57,9.62,0.36
SYSTANGO,41.79,34.42,34.42,Systango Technologies Ltd.,0.0,0.0,11.07,332.52,10.0,366.94,1.47,5.99,22.59,88.82,71.96,38.98,32.63,55.73,0.35
ROCKINGDCE,64.46,0.06,-3.87,Rockingdeals Circular Economy Ltd.,3.93,0.0,9.21,361.88,10.0,358.02,0.57,9.82,68.72,974.19,65.01,24.49,25.05,1.23,0.34
SKP,31.89,0.01,-25.19,SKP Bearing Industries Ltd.,25.2,0.51,8.08,380.1,10.0,354.91,1.66,6.7,26.46,1.21,73.49,31.03,28.5,1.71,0.34
KARNIKA,42.83,1.55,-50.91,Karnika Industries Ltd.,52.46,0.0,8.15,401.56,10.0,350.66,1.24,6.6,34.7,0.0,73.39,23.12,45.76,0.0,0.33
MWL,64.71,2.45,-99.26,Mangalam Worldwide Ltd.,101.71,0.77,7.73,447.93,10.0,348.67,2.6,2.07,17.34,20.49,63.54,14.58,13.82,26.94,0.33
FELIX,43.43,0.07,-4.37,Felix Industries Ltd.,4.44,0.0,2.78,351.8,10.0,347.44,1.35,5.91,92.45,41.17,54.85,12.04,14.48,56.51,0.33
PARIN,45.04,5.33,-29.57,Parin Furniture Ltd.,34.9,0.0,1.8,372.0,10.0,342.43,1.11,6.84,170.7,8.26,73.02,8.27,5.68,7.23,0.33
K2INFRA,52.67,2.32,-21.54,K2 Infragen Ltd.,23.86,0.0,9.91,359.84,10.0,338.3,1.26,5.09,27.06,476.32,-999.999,58.88,148.05,232.67,0.32
PURVFLEXI,52.85,0.15,-53.23,Purv Flexipack Ltd.,53.38,0.0,1.83,388.53,10.0,335.3,2.1,3.02,87.48,36.34,67.29,11.1,9.3,8.18,0.32
KCEIL,40.72,4.38,-18.51,Kay Cee Energy & Infra Ltd.,22.89,0.0,5.97,351.7,10.0,333.18,1.1,7.47,50.91,77.62,70.26,30.62,28.74,23.18,0.32
NIRMAN,114.12,0.11,-0.98,Nirman Agri Gentics Ltd.,1.09,0.0,17.01,327.54,10.0,326.55,0.8,3.57,23.97,56.45,66.05,26.6,27.06,112.08,0.31
PROPEQUITY,61.21,59.24,59.24,P. E. Analytics Ltd.,0.0,0.0,8.65,264.66,10.0,323.9,1.05,5.05,35.72,3.67,69.01,20.15,15.03,14.7,0.31
AURDIS,81.06,0.21,-41.5,Aurangabad Distillery Ltd.,41.71,0.0,25.52,361.3,10.0,319.8,0.82,4.81,15.28,86.61,74.93,29.58,28.94,17.53,0.31
GOYALSALT,23.58,0.31,-5.22,Goyal Salt Ltd.,5.53,0.0,5.28,312.92,10.0,307.71,1.79,7.29,32.55,167.23,72.61,34.92,32.37,0.09,0.29
KCK,17.86,0.19,-39.94,Kck Industries Ltd.,40.13,0.0,1.25,342.94,10.0,303.0,1.27,13.34,189.97,9.39,56.66,9.68,16.01,36.93,0.29
GOLDSTAR,1.23,0.11,-13.04,Goldstar Power Ltd.,13.15,0.0,0.17,310.31,1.0,297.27,24.07,10.08,73.51,427.17,72.91,17.2,16.73,16.47,0.28
VR,36.27,0.39,-9.33,V R Infraspace Ltd.,9.72,0.0,2.4,305.92,10.0,296.59,0.89,9.21,139.38,278.84,72.97,16.13,23.67,30.26,0.28
PRLIND,34.92,0.81,-36.12,Premier Roadlines Ltd.,36.93,0.0,5.52,331.04,10.0,294.93,2.29,3.69,23.36,75.37,-999.999,29.05,37.92,19.08,0.28
CRAYONS,42.56,15.36,4.31,Crayons Advertising Ltd.,11.05,0.0,6.92,285.31,10.0,289.62,2.44,2.79,17.13,928.43,73.5,41.95,36.44,43.19,0.28
PARAGON,43.34,1.29,-23.92,Paragon Fine and Speciality Chemical Ltd.,25.21,0.0,7.31,312.62,10.0,288.7,1.96,3.4,20.17,120.3,74.59,36.58,56.89,23.47,0.28
SPECTSTM,62.65,3.63,-0.13,Spectrum Talent Management Ltd.,3.76,0.0,4.77,287.29,10.0,287.16,2.31,1.98,26.09,78.45,73.68,45.29,69.74,58.06,0.27
EFACTOR,42.7,25.39,24.64,E Factor Experiences Ltd.,0.75,0.46,11.42,262.52,10.0,287.15,1.31,5.14,19.21,116.27,73.59,52.82,40.9,24.68,0.27
DIGIKORE,70.95,0.01,-6.07,Digikore Studios Ltd.,6.08,0.0,15.07,291.86,10.0,285.8,0.63,6.36,29.95,839.97,66.54,75.73,117.53,38.41,0.27
SONAMAC,53.35,6.12,3.59,Sona Machinery Ltd.,2.53,0.0,7.63,281.59,10.0,285.18,1.37,3.9,27.25,133.61,73.59,111.63,102.33,81.88,0.27
SADHAV,60.27,4.9,-50.37,Sadhav Shipping Ltd.,55.27,0.0,6.37,334.85,10.0,284.47,1.44,3.29,31.11,157.68,69.44,18.47,20.41,11.87,0.27
SHREEOSFM,39.2,1.16,-8.05,Shree OSFM E-Mobility Ltd.,9.21,0.0,5.26,291.47,10.0,283.42,1.54,4.69,34.98,89.88,55.88,19.56,16.35,170.98,0.27
ANLON,87.39,10.23,6.75,Anlon Technology Solutions Ltd.,3.48,0.0,7.22,276.63,10.0,283.37,0.63,5.18,62.73,1.79,69.26,21.96,16.41,6.46,0.27
KONSTELEC,66.71,9.69,-25.54,Konstelec Engineers Ltd.,35.23,0.53,6.12,307.98,10.0,282.45,1.51,2.8,30.58,90.81,66.77,16.93,12.25,41.91,0.27
ROXHITECH,42.99,0.01,-22.57,Rox Hi-Tech Ltd.,22.58,0.0,9.3,303.46,10.0,280.89,2.28,2.86,13.22,913.13,58.94,63.8,92.99,29.62,0.27
KLL,10.0,0.0,0.0,Kaushalya Logistics Ltd.,0.0,0.0,4.91,278.41,10.0,278.41,1.85,15.03,30.6,-999.999,73.65,-999.999,-999.999,-999.999,0.27
ZEAL,42.63,7.24,-10.1,Zeal Global Services Ltd.,17.34,0.0,8.77,287.4,10.0,277.31,1.33,4.89,23.76,86.36,73.4,57.71,63.12,7.34,0.26
INFOLLION,42.65,31.21,31.21,Infollion Research Services Ltd.,0.0,0.0,8.84,244.01,10.0,275.22,0.97,6.66,32.12,101.28,51.73,43.49,31.76,52.46,0.26
INFINIUM,38.78,3.32,-22.77,Infinium Pharmachem Ltd.,26.09,0.0,7.97,291.36,10.0,268.58,1.39,4.98,24.21,66.24,73.05,36.83,53.43,36.83,0.26
CANARYS,12.68,1.02,-2.99,Canarys Automations Ltd.,4.01,0.26,1.56,262.0,2.0,259.01,5.62,3.64,29.53,117.8,56.59,56.62,61.38,42.32,0.25
CMNL,37.14,24.24,2.65,Chaman Metallics Ltd.,21.59,0.0,5.19,256.07,10.0,258.72,2.41,2.89,20.66,108.76,73.6,31.73,29.75,23.12,0.25
ABCOTS,41.18,0.69,-97.4,A B Cotspin India Ltd.,98.09,0.0,6.51,353.48,10.0,256.07,1.03,6.04,38.23,71.71,34.91,5.78,4.77,20.19,0.24
DELAPLEX,70.97,11.44,11.44,Delaplex Ltd.,0.0,0.0,11.06,244.23,10.0,255.67,0.91,3.95,25.37,22.5,73.66,26.25,22.51,2.49,0.24
AKANKSHA,31.54,4.17,-11.11,Akanksha Power and Infrastructure Ltd.,15.28,0.0,1.44,264.35,10.0,253.24,1.85,4.34,95.17,20.58,60.81,19.32,20.03,11.08,0.24
SSFL,50.28,0.01,-12.82,Srivari Spices And Foods Ltd.,12.83,0.0,8.21,265.39,10.0,252.57,0.86,5.86,35.91,329.17,69.94,34.92,44.35,103.0,0.24
UNIHEALTH,41.87,26.64,23.34,Unihealth Consultancy Ltd.,3.3,0.0,1.97,228.91,10.0,252.25,1.54,3.91,83.11,127.02,68.8,8.91,7.87,119.71,0.24
ENSER,30.93,3.6,-2.72,Enser Communications Ltd.,6.32,0.0,6.05,253.61,10.0,250.89,0.87,9.31,47.6,105.42,66.24,35.65,50.85,53.05,0.24
MAXPOSURE,28.41,2.24,-1.1,Maxposure Ltd.,3.34,0.0,3.39,250.57,10.0,249.47,2.27,3.86,32.34,1162.04,61.56,21.33,15.28,2.73,0.24
ONDOOR,158.92,0.54,-0.64,On Door Concepts Ltd.,1.18,0.0,10.72,246.3,10.0,245.66,0.56,2.74,40.56,101.15,38.14,1.38,0.0,4.05,0.23
DCG,35.99,0.54,-17.58,DCG Cables & Wires Ltd.,18.12,0.0,4.88,262.88,10.0,245.29,1.81,3.75,27.71,363.53,-999.999,14.53,17.41,96.9,0.23
YASHOPTICS,37.54,0.52,-10.33,Yash Optics & Lens Ltd.,10.85,0.0,3.64,250.93,10.0,240.6,2.48,2.59,26.66,18.32,-999.999,52.69,53.48,33.4,0.23
LLOYDS,11.96,2.53,2.53,Lloyds Luxuries Ltd.,0.0,0.0,3.53,230.8,10.0,233.33,2.27,8.61,0.0,86.4,72.84,24.11,26.58,19.48,0.22
MADHUSUDAN,35.7,0.4,-51.74,Madhusudan Masala Ltd.,52.14,0.0,7.13,283.68,10.0,231.94,1.29,5.04,25.22,59.83,73.69,22.21,32.43,27.52,0.22
GRCL,19.64,0.44,-0.08,Gayatri Rubbers And Chemicals Ltd.,0.52,0.0,2.72,229.03,10.0,228.95,0.57,20.32,146.78,70.86,73.37,22.49,14.87,9.93,0.22
PRITIKA,31.39,1.13,-45.24,Pritika Engineering Components Ltd.,46.37,0.0,2.85,272.64,10.0,227.4,1.32,5.5,60.56,5.03,74.6,12.23,10.93,5.89,0.22
QMSMEDI,45.33,2.37,-23.15,QMS Medical Allied Services Ltd.,25.52,0.39,5.01,246.91,10.0,223.75,1.79,2.77,25.03,40.32,73.67,13.83,12.58,28.89,0.21
ARHAM,16.25,0.88,-11.17,Arham Technologies Ltd.,12.05,0.0,2.87,233.84,10.0,222.67,1.69,8.1,45.79,17.58,72.29,25.12,27.14,32.84,0.21
MAITREYA,10.0,0.0,0.0,Maitreya Medicare Ltd.,0.0,0.0,4.68,217.27,10.0,217.27,0.68,32.07,68.48,-999.999,73.11,-999.999,-999.999,-999.999,0.21
NAMAN,57.61,1.99,-27.45,Naman In-Store (India) Ltd.,29.44,0.0,8.79,237.15,10.0,209.69,1.05,3.45,22.62,1697.13,-999.999,30.12,96.95,193.85,0.2
GICL,20.92,0.48,-19.59,Globe International Carriers Ltd.,20.07,0.31,0.99,226.92,10.0,207.33,2.49,3.98,83.9,29.51,58.15,10.1,6.82,5.58,0.2
DUCOL,43.15,27.41,7.05,Ducol Organics And Colours Ltd.,20.36,0.35,3.05,199.92,10.0,206.98,1.45,3.3,46.73,27.53,57.38,10.56,7.25,16.89,0.2
SHIGAN,36.61,10.01,-34.67,Shigan Quantum Technologies Ltd.,44.68,0.0,2.97,241.35,10.0,206.68,1.81,3.11,38.39,39.4,69.92,11.6,8.98,7.2,0.2
RBS,55.6,0.36,-98.87,Ramdevbaba Solvent Ltd.,99.23,0.0,5.89,302.98,10.0,204.11,2.21,1.66,15.66,97.25,-999.999,18.57,31.46,19.21,0.19
PRAMARA,50.94,3.47,-29.84,Pramara Promotions Ltd.,33.31,0.0,3.37,232.81,10.0,202.97,1.1,3.63,54.84,37.51,69.81,14.23,15.29,0.67,0.19
URBAN,49.94,1.08,-25.89,Urban Enviro Waste Management Ltd.,26.97,0.0,16.29,224.21,10.0,198.31,0.43,9.17,28.12,34.31,51.19,17.59,47.85,98.86,0.19
KHFM,24.57,29.39,-18.96,KHFM Hospitality And Facility Management Services Ltd.,48.35,0.54,1.66,216.89,10.0,197.93,2.09,3.86,57.12,114.92,37.82,11.19,9.17,7.8,0.19
FONEBOX,33.5,0.92,-9.66,Fonebox Retail Ltd.,10.58,0.0,3.35,204.35,10.0,194.68,1.03,5.66,56.73,1149.88,71.64,57.05,118.2,115.41,0.19
VITAL,37.44,29.26,5.31,Vital Chemtech Ltd.,23.95,0.62,1.68,188.45,10.0,193.76,2.4,2.16,48.16,1.94,73.43,15.33,15.45,102.63,0.18
INM,79.18,0.49,-13.91,Interiors & More Ltd.,14.4,0.0,11.46,204.74,10.0,190.83,0.7,3.45,23.81,467.64,69.93,45.32,84.67,151.29,0.18
USASEEDS,54.91,6.11,-42.7,Upsurge Seeds of Agriculture Ltd.,48.81,0.0,10.27,233.32,10.0,190.61,0.71,4.92,26.29,20.07,71.15,12.77,19.06,9.61,0.18
MDL,32.39,0.07,-13.76,Marvel Decor Ltd.,13.83,0.0,0.62,202.34,10.0,188.58,1.77,3.28,170.52,6.56,72.91,4.64,2.3,6.25,0.18
ZENITHDRUG,10.0,2.89,-13.9,Zenith Drugs Ltd.,16.79,0.0,5.56,202.19,10.0,188.29,1.71,10.98,19.74,4.77,69.98,23.87,28.57,24.87,0.18
GREENCHEF,49.13,1.59,-64.25,Greenchef Appliances Ltd.,65.84,0.0,2.08,251.12,10.0,186.87,2.33,1.63,38.69,1944.65,73.52,16.08,18.79,2.34,0.18
